,Word,PN
0,２、３日,0.0
1,10%,0.0
2,100%,0.0
3,25%,0.0
4,80%,0.0
5,１０カ月,0.0
6,１０時間,0.0
7,１０数年,0.0
8,１０年以上,0.0
9,１０年近く,0.0
10,１１ヶ月,0.0
11,１１年,0.0
12,１２年,0.0
13,１３年,0.0
14,１４年,0.0
15,１５秒,0.0
16,１６年,0.0
17,１７年,0.0
18,１９年,0.0
19,１バイト,0.0
20,１位,0.3
21,１割,0.0
22,１時間以上,0.0
23,１時間以内,0.0
24,１時間半,0.0
25,１周年記念,0.3
26,１週間以上,0.0
27,１勝,0.3
28,１体,0.0
29,１通,0.0
30,１日分,0.0
31,１年近く,0.0
32,１番,0.3
33,１品,0.0
34,１文,0.0
35,２０年以上,0.0
36,２０年近く,0.0
37,２３時間,0.0
38,２か月,0.0
39,２ヵ月,0.0
40,２位,0.0
41,２階席,0.0
42,２件目,0.0
43,２時間,0.0
44,２時間以上,0.0
45,２時間半,0.0
46,２次感染,-0.3
47,２失点,-0.3
48,２勝１敗,0.0
49,２択,0.0
50,２日,0.0
51,２年近く,0.0
52,２年半,0.0
53,３０分位,0.0
54,３０分程度,0.0
55,３４年,0.0
56,３５年,0.0
57,３９歳,0.0
58,３Ｒ,0.0
59,３か月,0.0
60,３タテ,0.0
61,３チーム,0.0
62,３位,0.0
63,３回連続,0.0
64,３割負担,0.0
65,３週間,0.0
66,３酔い,0.0
67,３連打,0.0
68,３連敗,-0.3
69,４か月,0.0
70,４回目,0.0
71,４時間,0.0
72,４日,0.0
73,４年,0.0
74,５０日,0.0
75,５０年以上,0.0
76,６００円,0.0
77,６年,0.0
78,７ヶ月,0.0
79,７年,0.0
80,７番,0.0
81,８カ月,0.0
82,８ヶ月,0.0
83,８割,0.0
84,９ヶ月,0.0
85,９年,0.0
86,９番,0.0
87,ＡＤ,0.0
88,ＡＩＤＳ,-0.99375
89,ＡＴフィールド,0.3
90,Ａｍａｚｏｎ,0.0
91,Ａ型肝炎,-0.3
92,ＢＢＣ,0.0
93,ＢＩＧ,0.3
94,ＢＯＴ,-0.3
95,ＢＳＥ,-0.3
96,ＣＤ,0.0
97,ＣＮＮ,0.0
98,Ｃ型肝炎,-0.3
99,ＤＶ,-0.3
100,ＤＶＤ化,0.0
101,ＤｏＳ,0.0
102,ＥＤ,-0.3
103,ＥＳ,0.0
104,ＦＡＱ,0.0
105,ＨＩＶ,-0.3
106,ＨＩＶ感染,-0.3
107,ＨＰ,0.0
108,ＨＴＭＬ,0.0
109,ＩＴ化,0.0
110,ＩＴ投資,0.0
111,ＫＯ,0.135177
112,ＭＲＳＡ,0.0
113,ＮＧ,-0.242716
114,ＯＫ,0.0
115,ＯＬ,0.0
116,ＯＰＡＣ,0.0
117,ＰＭＳ,-0.3
118,ＰＲ,0.0
119,ＰＴＳＤ,-0.3
120,Ｑ＆Ａ,0.0
121,ＲＡＭ,0.0
122,ＲＦＣ,0.0
123,ＲＳＳ,0.0
124,ＳＡＲＳ,-0.3
125,ＳＥ,0.0
126,ＳＰＡＭ,0.0
127,ＳＱＬ,0.0
128,ＳＳ,0.0
129,ＴＫＯ,-0.3
130,Ｖｅｃｔｏｒ,0.0
131,ＷＷＥ,0.0
132,Ｗｅｂ検索,0.0
133,Ｗｉｎｎｙ,0.0
134,ｃｏｒｅ,0.0
135,ｅｎｄ,0.0
136,ｈｔｍｌ,0.0
137,ｈｔｔｐ,0.0
138,ｔｘｔ,0.0
139,あいさつ,0.0
140,あいだ,0.0
141,あいつら,0.0
142,あいまい,-0.3
143,あいまいさ,0.0
144,あえぎ,0.0
145,あかし,0.0
146,あからさま,-0.3
147,あきらめ,-0.3
148,あく,0.0
149,あく抜け,0.3
150,あこがれ,0.3
151,あご,0.0
152,あざやか,0.3
153,あし,0.0
154,あせも,-0.3
155,あたしたち,0.0
156,あたたかさ,0.3
157,あだ,-0.3
158,あだおろそか,-0.3
159,あだおろそか・あだやおろそか,-0.3
160,あだやおろそか,-0.3
161,あちら,0.0
162,あっさり,0.0
163,あっし,0.0
164,あっぱれ,0.3
165,あでやか,0.3
166,あどけなさ,0.3
167,あなたがた,0.0
168,あなたらしさ,0.3
169,ありがたさ,0.3
170,ありがたみ,0.3
